Rank,Company Name,Target summary,Sector (final classification),Region,RE100 (Y/N),Joining year,Target year,"SBT (Y = yes, N=no)",Target status - NT,Target classification NT - temp,"Target year NT (earlier of the two dates if there were two) - if committed, then year set to 2030",Net zero committed (SBTi),SBTi NZ approved year,Commitment date (SBTi),Commitment year (SBTi),"Carbon neutral commitment (C = company, V = value chain, G= Government, S = subsidiary, U = unspecified, x = less than 50% of rev, N=no)",Carbon neutral scope(s) (in their words) (+ indicates two targets/ a later target),Carbon neutral claim (in their words),Carbon neutral commitment - EARLY,Earlier carbon neutral target year,Earlier carbon neutral announcement year,Carbon neutral commitment - LATE,Later carbon neutral target year,Later carbon neutral announcement year,"Carbon credits (Y = yes, N = no, R = removals only, U = unclear)",Souce Date,"Net zero commitment (V = value chain, C = company, S = subsidiary, U = unclear, x = less than 50% rev)",Primary net zero scope (in their words),Primary net zero claim (in their words),Net Zero Target - EARLY,Earlier net zero target year,Earlier net zero announcement year,Net Zero Target - LATE,Later net zero target year,Later net zero announcement year,"Carbon credits (Y = yes, N = no, R = removals only, U = unclear).1","Reduction targets for Decarbonization (V = value chain, C = company)",CN already achieved ,CN 2024-2030,CN 2031-2050,Any CN,NZ already achieved,NZ 2024-2030,NZ 2031-2050,Any NZ,SBT already achieved,SBT 2024-2030,SBT 2031-2050,Any SBT,RE100 already achieved,RE100 2024-2030,RE100 2031-2050,Any RE100,CN/NZ - does the company have a voluntary CN or NZ target?,CN/NZ by 2030,CN/NZ by 2050,will use cabon credits,will NOT use carbon credits,any commitment,any commitment already achieved,any commitment by 2030,any commitment by 2050,NZ covering VC already achieved,NZ covering VC 2024-2030,NZ covering VC 2031-2050,Any NZ covering VC
391,ACS,CN,Engineering and construction,Europe,N,,,N,,,,,,,,C,scope 1 and 2 emissions,climate neutral,C,2045,2021,,,,U,2024,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
392,Coop Group, NZ,Retail,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,C,undefined,Net Zero,C,2050,2022,,,,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,,
393,Fairfax Financial Holdings,,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Guangzhou Industrial Investment Holdings,,Industrial goods,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,PBF Energy,CN,Oil and gas,North America,N,,,N,,,,,,,,V,entire products life cycle,carbon neutrality by 2050,V,2050,2023,,,,U,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
396,Standard Chartered, NZ RE100,Financial services,Europe,Y,2022,2040,N,Removed,,,No,,01/07/2018,2018,N,,,N,,,,,,,,C+F,Operations and Finannced emissions,Net Zero,C+F,2050,2021,,,,Y,,,,,,,,1,1,,,,,,,1,1,1,,1,1,,1,,,1,,,1,1
397,Xiaomi,CN,Industrial goods,Asia,N,,,N,,,,,,,,C  ,undefined,Carbon neutral,C  ,2040,2023,,,,Y,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
398,Compass Group,CN NZ SBT,"Food, beverages and agriculture",Europe,N,,,Y,Targets Set,1.5°C,2030,No,,21/10/2021,2021,C,operations (scope 1 & 2),carbon neutrality,C,2030,2021,,,,Y,2023,V,global operations and value chain,Climate Net Zero,V,2050,2021,,,,Y,,,1,,1,,,1,1,,1,,1,,,,,1,1,1,1,,1,,1,1,,,1,1
399,Meiji Yasuda Life Insurance, NZ,Financial services,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,V,"Scope 1, 2 and 3",Net Zero,V,2050,2022,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,1,1
400,GSK, NZ SBT RE100,Health care and pharmaceuticals,Europe,Y,2020,2030,Y,Targets Set,1.5Â°C,2030,Yes,2045,01/11/2023,2023,N,,,N,,,,,,,,V, across our full value chain ,Net Zero greenhouse gas emissions,V,2045,2020,,,,Y,,,,,,,,1,1,,1,,1,,1,,1,1,,1,1,,1,,1,1,,,1,1
401,Suncor Energy,,Oil and gas,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Hangzhou Industrial Investment Group,,Financial services,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Uber Technologies, NZ SBT,Technology,North America,N,,,Y,Targets Set,1.5Â°C,2030,Yes,2040,01/04/2023,2023,N,,,N,,,,,,,,"C, V","Scope 1 and 2, Scope 1, 2 and 3",Net Zero,C,2030,2020,V,2040,2020,U,,,,,,,1,,1,,1,,1,,,,,1,1,1,,,1,,1,1,,,1,1
404,DZ Bank,CN,Financial services,Europe,N,,,N,,,,,,,,C,group,climate-neutral,C,2050,2022,,,,Y,2023,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
405,GS Caltex,,Oil and gas,Asia,N,,,N,,,,,,,,G,Scope 1 and 2,carbon neutrality,G,2050,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Suzuki Motor,CN,Automotive,Asia,N,,,N,,,,,,,,C,operations,carbon neutrality,C,2050,2023,,,,U,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
407,Haier Smart Home,,Industrial goods,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,X5 Retail Group, SBT,Retail,Asia,N,,,N,Committed,,2030,No,,01/11/2020,2020,N,,,N,,,,,,,,N,,,N,,,,,,,C,,,,,,,,,,1,,1,,,,,,,,,,1,,1,1,,,,
409,La Poste, NZ SBT,Transportation and logistics,Europe,N,,,Y,Targets Set,1.5°C,2027,Yes,2040,01/04/2024,2024,N,,,N,,,,,,,,V,SBTi approved so value chain,Net Zero,V,2040,2024,,,,U,,,,,,,,1,1,,1,,1,,,,,1,,1,,,1,,1,1,,,1,1
410,Hangzhou Iron and Steel Group,,Metals and mining,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Shanghai Pharmaceuticals Holding,,Retail,Asia,N,,,N,,,,,,,,G,operations,carbon neutral,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Shandong Hi-Speed Group,,Transportation and logistics,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
