company,region_2021,sector_2021,re100_2021,sbti_2021,cn_2021,nz_2021,cc_2021,region_2022,sector_2022,re100_2022,sbti_2022,cn_2022,nz_2022,cc_2022,region_2023,sector_2023,re100_2023,sbti_2023,cn_2023,nz_2023,cc_2023,region_2024,sector_2024,re100_2024,sbti_2024,cn_2024,nz_2024,cc_2024,region_2025,sector_2025,re100_2025,sbti_2025,cn_2025,nz_2025,cc_2025
china communications construction,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,-1.0
china construction bank,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,
china cosco shipping,Asia,Transportation and logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
china datang,Asia,Energy and utilities,,,1.0,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,
china electronics,Asia,Technology,,,,,,Asia,Industrial goods,,,,,,Asia,Technology,,,,,,Asia,Industrial goods,,,,,,Asia,Technology,,,,,
china electronics technology group,Asia,Aerospace and defense,,,,,,Asia,Aerospace and defense,,,,,,Asia,Aerospace and defense,,,,,,Asia,Aerospace and defense,,,,,,,,,,,,
china energy engineering group,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,
china energy investment,Asia,Oil and gas,,,,,,Asia,Metals and mining,,,,,,Asia,Energy and utilities,,,,,,Asia,Metals and mining,,,,,,Asia,Energy and utilities,,,,,
china everbright group,Asia,Financial services,,,,,,Asia,Financial services,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
china evergrande group,Asia,Real estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
china faw group,Asia,Automotive,,,,,,Asia,Automotive,,,,,,Asia,Automotive,,,,,,Asia,Automotive,,,,,,Asia,Automotive,,,,,
china general technology,Asia,Engineering and construction,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia,Financial services,,,,,
china huadian,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,
china huaneng group,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,1.0,,
china life insurance,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,
china merchants bank,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,1.0,,
china merchants group,Asia,Transportation and logistics,,,,,,Asia,Transportation and logistics,,,,,,Asia,Transportation and logistics,,,,,,,,,,,,,,,,,,,
china minmetals,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Industrial goods,,,,1.0,,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,,,
china minsheng banking,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,
china telecommunications,Asia,Telecommunications and media,,,1.0,,,Asia,Telecommunications and media,,,,,,Asia,Telecommunications and media,,,,,,Asia,Telecommunications and media,,,,,,Asia,Telecommunications and media,,,,,
china national building material group,Asia,Industrial goods,,,,,,Asia,Industrial goods,,,,,,Asia,Industrial goods,,,,,,Asia,Industrial goods,,,,1.0,,Asia,Industrial goods,,,,,
china national coal group,Asia,Oil and gas,,,,,,Asia,Metals and mining,,,,,,Asia,Oil and gas,,,,,,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,,,
china national nuclear,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,,,,,,,
china national offshore oil,Asia,Oil and gas,,,,,,Asia,Metals and mining,,,,,,Asia,Oil and gas,,,1.0,,,Asia,Metals and mining,,,1.0,,1.0,Asia,Metals and mining,,,,,1.0
china national petroleum,Asia,Oil and gas,,,,1.0,,Asia,Oil and gas,,,,1.0,,Asia,Oil and gas,,,,,,Asia,Oil and gas,,,,,,Asia,Oil and gas,,,,1.0,
china south industries group,Asia,Aerospace and defense,,,,,,Asia,Aerospace and defense,,,,,,Asia,Aerospace and defense,,,,,,Asia,Aerospace and defense,,,,,,Asia,Aerospace and defense,,,,,
china pacific insurance (group),Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,
china post group,Asia,Real estate,,,,,,Asia,Transportation and logistics,,,1.0,,,Asia,Transportation and logistics,,,,,,Asia,Real estate,,,,,,Asia,Transportation and logistics,,,,,
