company,region_2021,sector_2021,re100_2021,sbti_2021,cn_2021,nz_2021,cc_2021,region_2022,sector_2022,re100_2022,sbti_2022,cn_2022,nz_2022,cc_2022,region_2023,sector_2023,re100_2023,sbti_2023,cn_2023,nz_2023,cc_2023,region_2024,sector_2024,re100_2024,sbti_2024,cn_2024,nz_2024,cc_2024,region_2025,sector_2025,re100_2025,sbti_2025,cn_2025,nz_2025,cc_2025
tata motors,Asia,Telecommunications and media,1.0,,,1.0,,Asia,Automotive,1.0,1.0,,,1.0,Asia,Automotive,1.0,,,1.0,,Asia,Automotive,1.0,,,,,Asia,Automotive,1.0,,,1.0,
telefonica,Europe,Retail,1.0,1.0,,1.0,,Europe,Telecommunications and media,1.0,1.0,,1.0,1.0,Europe,Telecommunications and media,1.0,1.0,,1.0,,Europe,Telecommunications and media,1.0,1.0,,1.0,1.0,Europe,Telecommunications and media,1.0,1.0,,1.0,1.0
tencent holdings,Asia,"Food, beverages and agriculture",,,,,,Asia,Technology,,,1.0,,1.0,Asia,Technology,,1.0,,1.0,1.0,Asia,Technology,,1.0,1.0,,1.0,Asia,Retail,,1.0,,1.0,
tesco,Europe,Automotive,1.0,1.0,,1.0,,Europe,Retail,1.0,1.0,,1.0,,Europe,"Food, beverages and agriculture",1.0,1.0,,1.0,,Europe,Retail,1.0,1.0,,1.0,1.0,Europe,Retail,1.0,1.0,,1.0,1.0
tesla,North America,Technology,,,,,,North America,Automotive,,,,,,North America,Automotive,,,,,,North America,Automotive,,,,,,North America,Automotive,,,,,
thermo fisher scientific,North America,Engineering and construction,,,,1.0,,North America,Industrial goods,,,,1.0,-1.0,North America,Health care and pharmaceuticals,,1.0,,1.0,,North America,Industrial goods,,1.0,,1.0,1.0,North America,Health care and pharmaceuticals,,1.0,,1.0,-1.0
thyssenkrupp,Europe,Financial services,,1.0,1.0,,,Europe,Metals and mining,,1.0,1.0,,,Europe,Industrial goods,,1.0,1.0,,,Europe,Metals and mining,,1.0,1.0,,,Europe,Metals and mining,,1.0,,1.0,
tiaa,North America,Retail,,,,,,North America,Financial services,,,,1.0,,North America,Financial services,,,,1.0,,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,1.0
tjx,North America,Financial services,,,,,,North America,Retail,,,,1.0,1.0,North America,Retail,,,,1.0,,North America,Retail,,,,1.0,1.0,North America,Retail,,,,1.0,1.0
tokio marine holdings,Asia,Energy and utilities,,,1.0,,,Asia,Financial services,,,1.0,1.0,,Asia,Financial services,,,,1.0,1.0,Asia,Financial services,,,,1.0,1.0,Asia,Financial services,,,,1.0,1.0
tongling nonferrous metals group,Asia,Financial services,,,,,,Asia,Metals and mining,,,,,,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,,,
toronto-dominion bank,North America,Technology,,,1.0,1.0,,North America,Financial services,1.0,,1.0,1.0,1.0,North America,Financial services,1.0,,,1.0,1.0,North America,Financial services,1.0,,,1.0,1.0,North America,Financial services,1.0,,,1.0,1.0
toshiba,Asia,Oil and gas,,1.0,,,,Asia,Industrial goods,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
totalenergies,Europe,Automotive,,,,1.0,,Europe,Oil and gas,,,,1.0,,Europe,Energy and utilities,,,,1.0,,Europe,Oil and gas,,,1.0,,1.0,Europe,Oil and gas,,,,1.0,1.0
toyota motor,Asia,Financial services,,,1.0,,,Asia,Automotive,,,1.0,,1.0,Asia,Automotive,,1.0,1.0,,1.0,Asia,Automotive,,1.0,1.0,,1.0,Asia,Automotive,,1.0,1.0,,
toyota tsusho,Asia,Financial services,,,1.0,,,Asia,Financial services,,,1.0,,,Asia,Retail,,,1.0,,,Asia,Financial services,,,,1.0,1.0,Asia,Financial services,,1.0,,1.0,
trafigura group,Asia,Financial services,,,,,,Asia,Financial services,,,,,1.0,Asia,Retail,,,1.0,,1.0,Asia,Financial services,,,1.0,,1.0,Asia,Financial services,,,1.0,,1.0
travelers,North America,Financial services,,,1.0,,,North America,Financial services,,,1.0,,,North America,Financial services,,,1.0,,,North America,Financial services,,,1.0,,1.0,North America,Financial services,,,1.0,,
truist financial,North America,Industrial goods,,,,,,,,,,,,,,,,,,,,North America,Financial services,,,,1.0,,,,,,,,
tsingshan holding group,Asia,"Food, beverages and agriculture",,,,,,Asia,Metals and mining,,,,,,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,,,
tyson foods,North America,Financial services,,1.0,,1.0,,North America,"Food, beverages and agriculture",,1.0,,1.0,,North America,"Food, beverages and agriculture",,1.0,,1.0,,North America,"Food, beverages and agriculture",,1.0,,1.0,,North America,"Food, beverages and agriculture",,1.0,,1.0,1.0
u.s. bancorp,North America,Transportation and logistics,,,,,,,,,,,,,,,,,,,,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,
u.s. postal service,North America,Financial services,,,,,,North America,Transportation and logistics,,,,,,North America,Transportation and logistics,,,,,,North America,Transportation and logistics,,,,,,North America,Transportation and logistics,,,,,
ubs group,Europe,Financial services,1.0,,1.0,1.0,,Europe,Financial services,1.0,,1.0,1.0,1.0,Europe,Financial services,1.0,,,1.0,,Europe,Financial services,1.0,,,1.0,1.0,Europe,Financial services,1.0,,,1.0,1.0
unicredit group,Europe,Household and personal products,,,,,,,,,,,,,,,,,,,,Europe,Financial services,,,,1.0,1.0,Europe,Financial services,,,,1.0,
unilever,Europe,"Food, beverages and agriculture",1.0,1.0,,1.0,,Europe,Household and personal products,1.0,1.0,,1.0,-1.0,Europe,Household and personal products,1.0,1.0,,1.0,,Europe,Household and personal products,1.0,1.0,,1.0,-1.0,Europe,Household and personal products,1.0,1.0,,1.0,-1.0
united natural foods,North America,Transportation and logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
united parcel service,North America,Health care and pharmaceuticals,,,1.0,,,North America,Transportation and logistics,,,1.0,,1.0,North America,Transportation and logistics,,,1.0,,1.0,North America,Transportation and logistics,,,1.0,,1.0,North America,Transportation and logistics,,,1.0,,-1.0
unitedhealth group,North America,Financial services,,,,,,North America,Health care and pharmaceuticals,,,,1.0,1.0,North America,Health care and pharmaceuticals,,,,1.0,,North America,Health care and pharmaceuticals,,,,1.0,1.0,North America,Health care and pharmaceuticals,,1.0,,1.0,
usaa,North America,Industrial goods,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,
vale,Other,Oil and gas,,,1.0,,,Other,Metals and mining,,,,1.0,1.0,Other,Energy and utilities,,,,1.0,,Other,Metals and mining,,,,1.0,,Other,Metals and mining,,,,1.0,1.0
valero energy,North America,Energy and utilities,,,1.0,,,North America,Oil and gas,,,1.0,,,North America,Energy and utilities,,,1.0,,,North America,Oil and gas,,,1.0,,1.0,North America,Oil and gas,,,1.0,,1.0
veolia environnement,Europe,Telecommunications and media,,1.0,,,,Europe,Energy and utilities,,1.0,,1.0,1.0,Europe,Energy and utilities,,1.0,,1.0,,Europe,Energy and utilities,,1.0,,1.0,1.0,Europe,Energy and utilities,,1.0,,1.0,1.0
verizon communications,North America,Telecommunications and media,,1.0,1.0,,,North America,Telecommunications and media,,1.0,,1.0,-1.0,North America,Telecommunications and media,,1.0,,1.0,,North America,Telecommunications and media,1.0,1.0,,1.0,,North America,Telecommunications and media,1.0,,,1.0,
viacomcbs,North America,Engineering and construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vinci,Europe,Telecommunications and media,,,1.0,,,Europe,Engineering and construction,,1.0,1.0,,,Europe,Engineering and construction,,1.0,1.0,,1.0,Europe,Engineering and construction,,1.0,1.0,,1.0,Europe,Engineering and construction,,1.0,,1.0,1.0
vodafone group,Europe,Automotive,1.0,1.0,,1.0,,Europe,Telecommunications and media,1.0,1.0,,1.0,-1.0,Europe,Telecommunications and media,1.0,1.0,,1.0,,Europe,Telecommunications and media,1.0,1.0,,1.0,,Europe,Telecommunications and media,1.0,1.0,,1.0,
volkswagen,Europe,Automotive,,1.0,1.0,,,Europe,Automotive,,1.0,1.0,,1.0,Europe,Automotive,,1.0,1.0,,,Europe,Automotive,,1.0,1.0,,1.0,Europe,Automotive,,1.0,1.0,,1.0
volvo,Europe,"Food, beverages and agriculture",,1.0,1.0,1.0,,Europe,Automotive,,1.0,1.0,1.0,,Europe,Automotive,,1.0,,1.0,,Europe,Automotive,,1.0,1.0,,,Europe,Engineering and construction,,1.0,,1.0,1.0
walgreens boots alliance,North America,Retail,,,,,,North America,Retail,,,1.0,,,North America,"Food, beverages and agriculture",,,,,,North America,Retail,,,,1.0,,North America,Health care and pharmaceuticals,,,,,
walmart,North America,Telecommunications and media,1.0,1.0,,1.0,,North America,Retail,1.0,1.0,,1.0,-1.0,North America,Retail,1.0,1.0,,1.0,,North America,Retail,1.0,1.0,,1.0,-1.0,North America,Retail,1.0,1.0,,1.0,-1.0
walt disney,North America,Industrial goods,,,,1.0,,North America,Telecommunications and media,,,,1.0,1.0,North America,Telecommunications and media,,,,1.0,,North America,Telecommunications and media,,1.0,,1.0,1.0,North America,Telecommunications and media,,1.0,,1.0,1.0
weichai power,Asia,Financial services,,,,,,Asia,Industrial goods,,,,,,,,,,,,,,,,,,,,,,,,,,
wells fargo,North America,"Food, beverages and agriculture",1.0,,1.0,1.0,,North America,Financial services,1.0,,1.0,1.0,1.0,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,,1.0
wh group,Asia,"Food, beverages and agriculture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wilmar international,Asia,Technology,,,,,,Asia,"Food, beverages and agriculture",,,,,,Asia,"Food, beverages and agriculture",,,,,,Asia,"Food, beverages and agriculture",,,,,,Asia,"Food, beverages and agriculture",,1.0,,1.0,
wistron,Asia,"Food, beverages and agriculture",,,,,,Asia,Technology,,,,,,Asia,Technology,,,1.0,,,,,,,,,,Asia,Technology,,1.0,,1.0,1.0
woolworths group,Other,Financial services,,1.0,,1.0,,Other,Retail,1.0,1.0,,1.0,,Other,"Food, beverages and agriculture",1.0,1.0,,1.0,,Other,Retail,1.0,1.0,,1.0,1.0,Other,Retail,1.0,1.0,,1.0,1.0
wuchan zhongda group,Asia,"Food, beverages and agriculture",,,,,,Asia,Financial services,,,,,,Asia,Retail,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,
x5 retail group,Europe,Financial services,,,1.0,,,Europe,Retail,,,1.0,,,Europe,"Food, beverages and agriculture",,,1.0,,,Asia,Retail,,,,,,Europe,Retail,,,1.0,,
xiamen c&d,Asia,Technology,,,,,,Asia,Financial services,,,,,,Asia,Retail,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,
xiamen itg holding group,Asia,Retail,,,,,,Asia,Financial services,,,,,,Asia,Retail,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,
xiaomi,Asia,Financial services,,,,,,Asia,Industrial goods,,,,,,Asia,Technology,,,,,,Asia,Industrial goods,,,1.0,,1.0,Asia,Retail,,,1.0,,
xinjiang guanghui industry investment,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Retail,,,,,,,,,,,,,,,,,,,
xmxyg,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Retail,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,
yango longking group,Asia,Financial services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yunnan provincial investment holding group,Asia,Automotive,,,,,,Asia,Financial services,,,,,,,,,,,,,,,,,,,,,,,,,,
zf friedrichshafen,Europe,Transportation and logistics,,,1.0,,,Europe,Automotive,,1.0,1.0,,-1.0,Europe,Automotive,,1.0,,1.0,,Europe,Automotive,,1.0,1.0,,,Europe,Automotive,,1.0,1.0,,
zhejiang communications investment group,Asia,Automotive,,,,,,Asia,Transportation and logistics,,,,,,Asia,Transportation and logistics,,,,,,Asia,Transportation and logistics,,,,,,Asia,Transportation and logistics,,,,,
zhejiang geely holding group,Asia,Chemicals,,,,,,Asia,Automotive,,,1.0,,,Asia,Automotive,,,1.0,,,Asia,Automotive,,,1.0,,,Asia,Automotive,,,1.0,,
zhejiang hengyi group,Asia,Chemicals,,,,,,Asia,Chemicals,,,,,,Asia,Chemicals,,,,,,Asia,Chemicals,,,,,,Asia,Chemicals,,,,,
zhejiang rongsheng holding group,Asia,Industrial goods,,,,,,Asia,Chemicals,,,,,,Asia,Chemicals,,,,,,Asia,Chemicals,,,,,,Asia,Chemicals,,,,,
zijin mining group,Asia,Financial services,,,,,,Asia,Metals and mining,,,1.0,,,Asia,Industrial goods,,,1.0,,1.0,Asia,Metals and mining,,,1.0,,1.0,Asia,Metals and mining,,,1.0,,1.0
zurich insurance group,Europe,Financial services,1.0,,1.0,1.0,,Europe,Financial services,1.0,,1.0,1.0,1.0,Europe,Financial services,1.0,,,1.0,1.0,Europe,Financial services,1.0,,,1.0,1.0,Europe,Financial services,1.0,,,1.0,1.0
shell,,,,,,,,Europe,Oil and gas,,,,1.0,1.0,Europe,Energy and utilities,,,,1.0,,Europe,Oil and gas,,,,1.0,1.0,Europe,Oil and gas,,,,1.0,1.0
stellantis,,,,,,,,Europe,Automotive,,,,1.0,-1.0,Europe,Automotive,,,,1.0,,Europe,Automotive,,,,1.0,1.0,Europe,Automotive,,,,1.0,1.0
sinochem holdings,,,,,,,,Asia,Chemicals,,,,,,Asia,Chemicals,,,,,,Asia,Chemicals,,,,,,,,,,,,
mercedes-benz group,,,,,,,,Europe,Automotive,,,1.0,,1.0,Europe,Automotive,,,1.0,,,Europe,Automotive,,1.0,1.0,,1.0,Europe,Automotive,,1.0,1.0,,
elevance health,,,,,,,,North America,Health care and pharmaceuticals,1.0,,,,,North America,Health care and pharmaceuticals,1.0,,,1.0,1.0,North America,Health care and pharmaceuticals,1.0,,,1.0,,North America,Health care and pharmaceuticals,1.0,1.0,,1.0,1.0
meta platforms,,,,,,,,North America,Technology,1.0,,,1.0,,North America,Technology,1.0,,,1.0,,North America,Technology,1.0,1.0,,1.0,1.0,North America,Retail,,1.0,,1.0,1.0
life insurance corp. of india,,,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,
sk group,,,,,,,,Asia,Oil and gas,,,,1.0,1.0,Asia,Energy and utilities,,,,1.0,,,,,,,,,,,,,,,
cosco shipping,,,,,,,,Asia,Transportation and logistics,,,,,,Asia,Transportation and logistics,,1.0,,1.0,,Asia,Transportation and logistics,,1.0,,1.0,,Asia,Transportation and logistics,,1.0,,1.0,
panasonic holdings,,,,,,,,Asia,Industrial goods,1.0,1.0,1.0,,,Asia,Technology,1.0,1.0,,1.0,,Asia,Industrial goods,1.0,1.0,,1.0,1.0,Asia,Technology,1.0,1.0,,1.0,1.0
conocophillips,,,,,,,,North America,Metals and mining,,,,1.0,1.0,North America,Energy and utilities,,,,1.0,,North America,Metals and mining,,,,1.0,1.0,North America,Metals and mining,,,,1.0,1.0
gsk,,,,,,,,Europe,Health care and pharmaceuticals,,1.0,,1.0,,Europe,Health care and pharmaceuticals,1.0,1.0,,1.0,,Europe,Health care and pharmaceuticals,1.0,1.0,,1.0,1.0,Europe,Health care and pharmaceuticals,1.0,1.0,,1.0,1.0
susun construction group,,,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,
plains gp holdings,,,,,,,,North America,Oil and gas,,,,,,North America,Energy and utilities,,,,,,North America,Oil and gas,,,,,,North America,Energy and utilities,,,,,
omv group,,,,,,,,Other,Oil and gas,,,,1.0,,Other,Energy and utilities,,,,1.0,,Europe,Oil and gas,,,,1.0,1.0,Europe,Oil and gas,,,,1.0,1.0
hangzhou iron and steel group,,,,,,,,Asia,Metals and mining,,,,,,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,,,
energie baden-wurttemberg,,,,,,,,Europe,Energy and utilities,,,1.0,,1.0,Europe,Energy and utilities,,1.0,1.0,,1.0,Europe,Energy and utilities,,1.0,1.0,,1.0,Europe,Energy and utilities,,1.0,1.0,,1.0
cenovus energy,,,,,,,,North America,Metals and mining,,,,1.0,1.0,North America,Energy and utilities,,,,1.0,,North America,Metals and mining,,,,1.0,,North America,Metals and mining,,,,1.0,1.0
nucor,,,,,,,,North America,Metals and mining,,,,,1.0,North America,Industrial goods,,,,,,North America,Metals and mining,,,,1.0,1.0,,,,,,,
massachusetts mutual life insurance,,,,,,,,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,,North America,Financial services,,,,1.0,,North America,Financial services,,,,1.0,1.0
kuehne + nagel international,,,,,,,,Europe,Transportation and logistics,,1.0,1.0,,,Europe,Transportation and logistics,,1.0,,1.0,,,,,,,,,,,,,,,
raízen,,,,,,,,Other,Oil and gas,,,,,,Other,Energy and utilities,,,,,,,,,,,,,,,,,,,
mitsubishi corp,,,,,,,,Asia,Financial services,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
olam group,,,,,,,,Asia,Retail,,1.0,,,,Asia,Retail,,1.0,,,,Asia,Retail,,1.0,,1.0,1.0,Asia,"Food, beverages and agriculture",,1.0,,1.0,
shudao investment group,,,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,
china national aviation fuel group,,,,,,,,Asia,Oil and gas,,,,,,Asia,Financial services,,,,,,Asia,Oil and gas,,,,,,Asia,Financial services,,,,,-1.0
lu'an chemical group,,,,,,,,Asia,Metals and mining,,,,,,Asia,Energy and utilities,,,,,,,,,,,,,,,,,,,
pkn orlen group,,,,,,,,Other,Oil and gas,,,,1.0,,Other,Energy and utilities,,,1.0,,,,,,,,,,,,,,,,
qualcomm,,,,,,,,North America,Industrial goods,,,,1.0,-1.0,North America,Technology,,1.0,,1.0,,North America,Industrial goods,,1.0,,1.0,1.0,North America,Technology,,1.0,,1.0,1.0
carmax,,,,,,,,North America,Retail,,,,1.0,1.0,North America,Retail,,,,1.0,,,,,,,,,,,,,,,
xinjiang zhongtai group,,,,,,,,Asia,Chemicals,,,,,,Asia,Chemicals,,,,,,,,,,,,,,,,,,,
tata steel,,,,,,,,Asia,Metals and mining,,,,,,,,,,,,,,,,,,,,,,,,,,
byd,,,,,,,,Asia,Automotive,,,,,,Asia,Automotive,,,,,,Asia,Automotive,,,,,,Asia,Automotive,,,1.0,,
inditex,,,,,,,,Europe,Retail,,1.0,,1.0,,Europe,Retail,,1.0,,1.0,,Europe,Retail,,1.0,,1.0,,Europe,Retail,,1.0,,1.0,
s.f. holding,,,,,,,,Asia,Transportation and logistics,,,,,1.0,Asia,Transportation and logistics,,,,,,Asia,Transportation and logistics,,,,,,Asia,Transportation and logistics,,1.0,,1.0,1.0
td synnex,,,,,,,,North America,Retail,,,,1.0,,North America,Retail,,,,1.0,,North America,Retail,,1.0,,1.0,,North America,Industrial goods,,1.0,,1.0,1.0
world fuel services,,,,,,,,North America,Energy and utilities,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
suncor energy,,,,,,,,North America,Oil and gas,,,,1.0,,North America,Energy and utilities,,,,1.0,,North America,Oil and gas,,,,,,North America,Oil and gas,,,,1.0,1.0
shandong hi-speed group,,,,,,,,Asia,Transportation and logistics,,,,,,Asia,Transportation and logistics,,,,,,Asia,Transportation and logistics,,,,,,Asia,Transportation and logistics,,,,,1.0
investor,,,,,,,,Europe,Financial services,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
chengdu xingcheng investment group,,,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,,,,,,,,,,,,,,
shanghai delong steel group,,,,,,,,Asia,Metals and mining,,,,,,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,,,
gs caltex,,,,,,,,Asia,Oil and gas,,,,,,Asia,Energy and utilities,,,,,,Asia,Oil and gas,,,,,,Asia,Oil and gas,,,1.0,,
mercadona,,,,,,,,Europe,Retail,,,,,,,,,,,,,Europe,"Food, beverages and agriculture",,,,,,Europe,Retail,,,,,
cpc,,,,,,,,Asia,Oil and gas,,,,,,Asia,Energy and utilities,,,,,,Asia,Oil and gas,,,,1.0,1.0,Asia,Oil and gas,,,,1.0,1.0
delta air lines,,,,,,,,North America,Transportation and Logistics,,,1.0,1.0,,North America,Transportation and logistics,,1.0,,1.0,,North America,Transportation and Logistics,,1.0,,1.0,1.0,North America,Transportation and logistics,,1.0,,1.0,1.0
american airlines group,,,,,,,,North America,Transportation and Logistics,,1.0,,1.0,1.0,North America,Transportation and logistics,,1.0,,1.0,,North America,Transportation and Logistics,,1.0,,1.0,1.0,North America,Transportation and logistics,,1.0,,1.0,1.0
paramount global,,,,,,,,North America,Telecommunications and media,,,,,,North America,Telecommunications and media,,,,,,,,,,,,,,,,,,,
us foods holding,,,,,,,,North America,Retail,,,,,,North America,Retail,,1.0,,,,North America,Retail,,1.0,,,,North America,"Food, beverages and agriculture",,1.0,,,
danaher,,,,,,,,North America,Health care and pharmaceuticals,,,,,,North America,Health care and pharmaceuticals,,,,,,,,,,,,,,,,,,,
randstad,,,,,,,,Europe,Financial services,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
starbucks,,,,,,,,North America,"Food, beverages and agriculture",1.0,1.0,,,,North America,Retail,1.0,1.0,,,,North America,"Food, beverages and agriculture",1.0,1.0,,1.0,,North America,"Food, beverages and agriculture",1.0,1.0,,1.0,-1.0
rwe,,,,,,,,Europe,Energy and utilities,,1.0,1.0,,,Europe,Energy and utilities,,1.0,1.0,,,,,,,,,,,,,,,,
dsv,,,,,,,,Europe,Transportation and logistics,,1.0,,,,Europe,Transportation and logistics,,1.0,,1.0,,,,,,,,,,,,,,,
umicore,,,,,,,,Other,Chemicals,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
uniper,,,,,,,,,,,,,,,Europe,Energy and utilities,,,1.0,,1.0,Europe,Energy and utilities,,,1.0,,1.0,Europe,Energy and utilities,,,1.0,,1.0
rtx,,,,,,,,,,,,,,,North America,Aerospace and defense,,,,1.0,,North America,Aerospace and Defense,,,,1.0,1.0,North America,Aerospace and defense,,,,,
ibm,,,,,,,,,,,,,,,North America,Technology,,,,1.0,,North America,Technology,,,,1.0,1.0,North America,Technology,,,,1.0,1.0
world kinect,,,,,,,,,,,,,,,North America,Energy and utilities,,,1.0,,1.0,North America,Energy and utilities,,,,,,North America,Energy and utilities,,,,1.0,1.0
daimler truck holding,,,,,,,,,,,,,,,Europe,Automotive,,,1.0,,,Europe,Automotive,,,1.0,,,Europe,Automotive,,,1.0,,1.0
contemporary amperex technology,,,,,,,,,,,,,,,Asia,Automotive,,,,,,Asia,Automotive,,,1.0,,,Asia,Automotive,,,1.0,,1.0
energi danmark group,,,,,,,,,,,,,,,Europe,Energy and utilities,,,1.0,,1.0,,,,,,,,,,,,,,
hd hyundai,,,,,,,,,,,,,,,Asia,Energy and utilities,,,,,,Asia,Oil and gas,,,,,,Asia,Oil and gas,,,1.0,,1.0
pbf energy,,,,,,,,,,,,,,,North America,Energy and utilities,,,1.0,,,North America,Oil and gas,,,1.0,,,North America,Oil and gas,,,,,
united airlines holdings,,,,,,,,,,,,,,,North America,Transportation and logistics,,,,1.0,,North America,Transportation and logistics,,1.0,,1.0,-1.0,North America,Transportation and logistics,,1.0,,1.0,-1.0
korea gas,,,,,,,,,,,,,,,Asia,Energy and utilities,,,1.0,,,Asia,Oil and gas,,,,,,,,,,,,
hf sinclair,,,,,,,,,,,,,,,North America,Energy and utilities,,,,,,,,,,,,,,,,,,,
nutrien,,,,,,,,,,,,,,,North America,"Food, beverages and agriculture",,,,,,,,,,,,,,,,,,,
ecopetrol,,,,,,,,,,,,,,,Other,Energy and utilities,,,,1.0,,Other,Oil and gas,,,,1.0,1.0,Other,Metals and mining,,,,1.0,1.0
gasterra,,,,,,,,,,,,,,,Europe,Energy and utilities,,,,,,,,,,,,,,,,,,,
occidental petroleum,,,,,,,,,,,,,,,North America,Energy and utilities,,,,1.0,,,,,,,,,,,,,,,
caixa economica federal,,,,,,,,,,,,,,,Other,Financial services,,,,,,Other,Financial services,,,,,,Other,Financial services,,,,1.0,1.0
guangzhou industrial investment holdings,,,,,,,,,,,,,,,Asia,Industrial goods,,,,,,Asia,Industrial goods,,,,,,Asia,Industrial goods,,,,,
hapag-lloyd,,,,,,,,,,,,,,,Europe,Transportation and logistics,,,1.0,,,,,,,,,,,,,,,,
naturgy energy group,,,,,,,,,,,,,,,Europe,Energy and utilities,,,1.0,,1.0,,,,,,,,,,,,,,
guangdong guangxin holdings,,,,,,,,,,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,
vibra energia,,,,,,,,,,,,,,,Other,Energy and utilities,,,1.0,,1.0,Other,Oil and gas,,,1.0,,1.0,,,,,,,
shaanxi construction engineering holding,,,,,,,,,,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and Construction,,,,,,,,,,,,
lufthansa group,,,,,,,,,,,,,,,Europe,Transportation and logistics,,,1.0,,1.0,Europe,Transportation and logistics,,1.0,1.0,,1.0,Europe,Transportation and logistics,,1.0,1.0,,1.0
magnit,,,,,,,,,,,,,,,Europe,"Food, beverages and agriculture",,,,,,,,,,,,,Europe,Retail,,1.0,,1.0,
warner bros. discovery,,,,,,,,,,,,,,,North America,Telecommunications and media,,,,,,North America,Telecommunications and media,,,,,,North America,Telecommunications and media,,,,1.0,1.0
lennar,,,,,,,,,,,,,,,North America,Engineering and construction,,,,,,North America,Engineering and Construction,,,,,,North America,Engineering and construction,,,,,
fomento economico mexicano,,,,,,,,,,,,,,,North America,"Food, beverages and agriculture",,,,,,North America,"Food, beverages and agriculture",,,,,,Other,"Food, beverages and agriculture",,,,,
d.r. horton,,,,,,,,,,,,,,,North America,Engineering and construction,,,,,,North America,Engineering and Construction,,,,,,North America,Engineering and construction,,,,,
cheniere energy,,,,,,,,,,,,,,,North America,Energy and utilities,,,,,,,,,,,,,,,,,,,
broadcom,,,,,,,,,,,,,,,North America,Technology,,,,,,North America,Technology,,,,,,North America,Technology,,,,,
meituan,,,,,,,,,,,,,,,Asia,Retail,,,,,,Asia,Retail,,,,,,Asia,Retail,,,,,
canadian natural resources,,,,,,,,,,,,,,,North America,Energy and utilities,,,,,,,,,,,,,,,,,,,
molina healthcare,,,,,,,,,,,,,,,North America,Health care and pharmaceuticals,,,,,,North America,Health care and pharmaceuticals,,,,,,North America,Health care and pharmaceuticals,,,,,
tongwei group,,,,,,,,,,,,,,,Asia,Energy and utilities,,,1.0,,1.0,Asia,Energy and utilities,,,1.0,,1.0,Asia,Energy and utilities,1.0,,1.0,,1.0
uber technologies,,,,,,,,,,,,,,,North America,Technology,,,,1.0,,North America,Technology,,1.0,,1.0,,North America,Retail,,1.0,,1.0,1.0
luxshare precision industry,,,,,,,,,,,,,,,Asia,Technology,,,1.0,,1.0,Asia,Technology,,1.0,1.0,,,Asia,Technology,,1.0,1.0,,
nrg energy,,,,,,,,,,,,,,,North America,Energy and utilities,,1.0,,1.0,,,,,,,,,,,,,,,
air liquide,,,,,,,,,,,,,,,Europe,Chemicals,,1.0,1.0,,,,,,,,,,,,,,,,
salesforce,,,,,,,,,,,,,,,North America,Technology,,,,1.0,,North America,Technology,,1.0,,1.0,1.0,North America,Technology,,1.0,,1.0,1.0
aig,,,,,,,,,,,,,,,,,,,,,,North America,Financial services,,,,1.0,,,,,,,,
air france-klm group,,,,,,,,,,,,,,,,,,,,,,Europe,Transportation and logistics,,1.0,,1.0,,Europe,Transportation and logistics,,1.0,,1.0,1.0
