company,re100,sbti,cn,nz,cc
walgreens boots alliance,00000,00000,01000,00010,-----
walmart,11111,11111,00000,11110,--1--1-1
walt disney,00000,00011,00000,11110,-1-11
weichai power,00---,00---,00---,00---,-----
wells fargo,11000,00000,11000,11110,-1111
wh group,0----,0----,0----,0----,-----
wilmar international,00000,00001,00000,00000,-----
wistron,000-0,000-1,001-0,000-0,----1
woolworths group,01111,11111,00000,11110,---11
wuchan zhongda group,00000,00000,00000,00000,-----
x5 retail group,00000,00000,11100,00001,-----
xiamen c&d,00000,00000,00001,00000,-----
xiamen itg holding group,00000,00000,00001,00000,-----
xiaomi,00000,00000,00010,00001,---1-
xinjiang guanghui industry investment,000--,000--,000--,000--,-----
xmxyg,00000,00000,00001,00000,-----
yango longking group,0----,0----,0----,0----,-----
yunnan provincial investment holding group,00---,00---,00---,00---,-----
zf friedrichshafen,00000,01111,11010,00101,--1---
zhejiang communications investment group,00000,00000,00001,00000,-----
zhejiang geely holding group,00000,00000,01110,00001,-----
zhejiang hengyi group,00000,00000,00001,00000,-----
zhejiang rongsheng holding group,00000,00000,00001,00000,-----
zijin mining group,00000,00000,01110,00001,--111
zurich insurance group,11111,00000,11000,11110,-1111
shell,-0000,-0000,-0000,-1110,-1-11
stellantis,-0000,-0000,-0000,-1110,--1-11
sinochem holdings,-000-,-000-,-000-,-000-,-----
mercedes-benz group,-0000,-0011,-1110,-0001,-1-1-
elevance health,-1111,-0001,-0000,-0110,--1-1
meta platforms,-1110,-0011,-0000,-1110,---11
life insurance corp. of india,-0000,-0000,-0000,-0000,-----
sk group,-00--,-00--,-00--,-11--,-1---
cosco shipping,-0000,-0111,-0000,-0110,-----
panasonic holdings,-1111,-1111,-1000,-0110,---11
conocophillips,-0000,-0000,-0000,-1110,-1-11
gsk,-0111,-1111,-0000,-1110,---11
susun construction group,-0000,-0000,-0000,-0000,-----
plains gp holdings,-0000,-0000,-0000,-0000,-----
omv group,-0000,-0000,-0000,-1110,---11
hangzhou iron and steel group,-0000,-0000,-0000,-0000,-----
energie baden-wurttemberg,-0000,-0111,-1110,-0001,-1111
cenovus energy,-0000,-0000,-0000,-1110,-1--1
nucor,-000-,-000-,-000-,-001-,-1-1-
massachusetts mutual life insurance,-0000,-0000,-0000,-1110,-1--1
kuehne + nagel international,-00--,-11--,-10--,-01--,-----
raízen,-00--,-00--,-00--,-00--,-----
mitsubishi corp,-0---,-0---,-0---,-1---,-----
olam group,-0000,-1111,-0000,-0010,---1-
shudao investment group,-0000,-0000,-0000,-0000,-----
