2024,,,,2025,,,
Company name,Sector (final classification),Region,NZ,Company name,Sector (final classification),Region,NZ
CRH,Industrial goods,Europe,1,People's Insurance Co. of China,Financial services,Asia,0
CRRC Group,Industrial goods,Asia,,Brookfield,Financial services,North America,1
Cummins,Industrial goods,North America,1,Archer Daniels Midland,"Food, beverages and agriculture",North America,0
CVS Health,Health care and pharmaceuticals,North America,1,Siemens,Industrial goods,Europe,1
D.R. Horton,Engineering and Construction,North America,,Enel,Energy and utilities,Europe,1
Dai-ichi Life Holdings,Financial services,Asia,1,Sony,Technology,Asia,1
Daimler Truck Holding,Automotive,Europe,,Procter & Gamble,Household and personal products,North America,1
Daiwa House Industry,Engineering and construction,Asia,1,Lowe's,Retail,North America,1
Deere,Industrial goods,North America,,Wuchan Zhongda Group,Financial services,Asia,0
Dell Technologies,Technology,North America,1,Nissan Motor,Automotive,Asia,0
Delta Air Lines,Transportation and Logistics,North America,1,Energy Transfer,Energy and utilities,North America,0
Denso,Automotive,Asia,,Groupe BPCE,Financial services,Europe,1
Deutsche Bahn,Transportation and logistics,Europe,,RTX,Aerospace and defense,North America,0
Deutsche Bank,Financial services,Europe,1,Albertsons,Retail,North America,1
Deutsche Telekom,Telecommunications and media,Europe,1,Zhejiang Geely Holding Group,Automotive,Asia,0
DHL Group,Transportation and logistics,Europe,1,Engie,Energy and utilities,Europe,1
Dollar General,Retail,North America,,U.S. Postal Service,Transportation and logistics,North America,0
Dongfeng Motor,Automotive,Asia,,Sysco,"Food, beverages and agriculture",North America,0
Dow,Chemicals,North America,,Kia,Automotive,Asia,0
DZ Bank,Financial services,Europe,,Vinci,Engineering and construction,Europe,1
E.ON,Energy and utilities,Europe,,Shenghong Holding Group,Chemicals,Asia,0
Ecopetrol,Oil and gas,Other,1,Seven & I Holdings,Retail,Asia,1
Edeka Zentrale,Retail,Europe,1,State Bank of India,Financial services,Asia,0
Electricite de France,Energy and utilities,Europe,1,China FAW Group,Automotive,Asia,0
Elevance Health,Health care and pharmaceuticals,North America,1,Jiangxi Copper,Metals and mining,Asia,0
Eli Lilly,Health care and pharmaceuticals,North America,,Shandong Weiqiao Pioneering Group,Household and personal products,Asia,0
ELO Group,Retail,Europe,,JBS,"Food, beverages and agriculture",Europe,1
Emirates Group,Transportation and logistics,Asia,,Bank of Communications,Financial services,Asia,0
Enbridge,Oil and gas,North America,1,Progressive,Financial services,North America,0
Enel,Energy and utilities,Europe,1,Pacific Construction Group,Engineering and construction,Asia,1
ENEOS Holdings,Oil and gas,Asia,,Pertamina,Oil and gas,Asia,1
Energie Baden-Wurttemberg,Energy and utilities,Europe,,Uniper,Energy and utilities,Europe,0
Energy Transfer,Oil and gas,North America,,Japan Post Holdings,Financial services,Asia,0
Engie,Energy and utilities,Europe,1,Airbus,Aerospace and defense,Europe,0
ENI,Oil and gas,Europe,1,American Express,Financial services,North America,1
Enterprise Products Partners,Oil and gas,North America,,Orlen,Oil and gas,Europe,1
Equinor,Oil and gas,Europe,1,Deutsche Bank,Financial services,Europe,1
EXOR Group,Financial services,Europe,1,Shaanxi Coal & Chemical Industry,Metals and mining,Asia,0
Exxon Mobil,Oil and gas,North America,1,Lloyds Banking Group,Financial services,Europe,1
Fairfax Financial Holdings,Financial services,North America,,ENEOS Holdings,Oil and gas,Asia,0
Fannie Mae,Financial services,North America,,Oil & Natural Gas,Metals and mining,Asia,1
FedEx,Transportation and logistics,North America,,Lukoil,Oil and gas,Europe,0
Fomento Economico Mexicano,"Food, beverages and agriculture",North America,,Nippon Life Insurance,Financial services,Asia,1
Ford Motor,Automotive,North America,,ING Group,Financial services,Europe,1
Freddie Mac,Financial services,North America,,Barclays,Financial services,Europe,1
