company,sector,region,re100,sbti,cn,nz,cc
manulife financial,Financial services,North America,00---,00---,00---,11---,0-1---
mapfre group,Financial services,Europe,0--00,0--00,1--11,0--00,0--01
marathon petroleum,Oil and gas,North America,00000,00000,00000,00000,00000
marubeni,Financial services,Asia,00000,00000,00000,11111,00010
massachusetts mutual life insurance,Financial services,North America,-0000,-0000,-0000,-1111,-1001
mazda motor,Automotive,Asia,0--00,0--00,0--11,0--00,0--01
mckesson,Health care and pharmaceuticals,North America,00000,00111,01000,00000,00000
medipal holdings,Retail,Asia,00---,00---,00---,00---,00---
medtronic,Health care and pharmaceuticals,Europe,000-0,000-1,110-0,011-1,010-1
meiji yasuda life insurance,Financial services,Asia,00000,00000,00000,11111,00010
meituan,Retail,Asia,--000,--000,--000,--000,--000
mercadona,Retail,Europe,-0-00,-0-00,-0-00,-0-00,-0-00
merck,Health care and pharmaceuticals,North America,00000,01111,11110,00001,01011
metlife,Financial services,North America,00000,00000,11000,01111,01111
metro,"Food, beverages and agriculture",Europe,00000,11110,11111,00000,00000
microsoft,Technology,North America,11111,11111,11011,11100,00111
midea group,Technology,Asia,00000,00000,00000,00000,0-1000
migros group,Retail,Europe,00000,01111,01000,01111,01111
mitsubishi,Financial services,Asia,0-000,0-000,0-000,0-111,0-011
mitsubishi chemical holdings,Chemicals,Asia,000--,000--,011--,000--,010--
mitsubishi corp,Financial services,Asia,-0---,-0---,-0---,-1---,-0---
mitsubishi electric,Technology,Asia,00000,11111,00000,11111,00000
mitsubishi heavy industries,Industrial goods,Asia,00000,00000,00100,01011,01000
mitsubishi ufj financial group,Financial services,Asia,00000,00000,10100,11011,00111
mitsui,Financial services,Asia,00000,01000,10000,11101,01001
mizuho financial group,Financial services,Asia,00000,00000,11000,01111,001-1-1
molina healthcare,Health care and pharmaceuticals,North America,--000,--000,--000,--000,--000
mondelez international,"Food, beverages and agriculture",North America,00000,11111,00000,01111,00000
morgan stanley,Financial services,North America,11110,00000,11000,11111,0-1111
ms&ad insurance group holdings,Financial services,Asia,00000,00000,00000,11111,00000
munich re group,Financial services,Europe,00000,00000,11000,11111,01111
national australia bank,Financial services,Other,---11,---00,---00,---11,---11
nationwide,Financial services,North America,00000,00000,00000,00111,00111
naturgy energy group,Energy and utilities,Europe,--0--,--0--,--1--,--0--,--1--
natwest group,Financial services,Europe,----1,----1,----0,----1,----1
nec,"Food, beverages and agriculture",Asia,1----,1----,1----,0----,0----
nestle,"Food, beverages and agriculture",Europe,---1-,---1-,---0-,---1-,---1-
nestlé,"Food, beverages and agriculture",Europe,111-1,111-1,000-0,111-1,000--1
netflix,Telecommunications and media,North America,01000,11111,00000,11111,01011
new hope holding group,"Food, beverages and agriculture",Asia,00000,00000,00001,00000,0-1000
new york life insurance,Financial services,North America,00000,00000,00000,00110,00010
nike,Retail,North America,11111,11111,00000,00110,00010
nippon life insurance,Financial services,Asia,00011,00000,10000,01111,00000
nippon steel,Metals and mining,Asia,----0,----0,----1,----0,----1
nippon steel corporation,Metals and mining,Asia,0000-,0000-,1111-,0000-,0011-
nippon telegraph and telephone,Telecommunications and media,Asia,0000-,0010-,0111-,0000-,0010-
nissan motor,Automotive,Asia,00000,11111,11111,00000,00111
nokia,Aerospace and defense,Europe,0----,1----,0----,0----,0----
northrop grumman,Aerospace and defense,North America,00000,00000,00000,01111,01001
northwestern mutual,Financial services,North America,00000,00000,00000,00000,00000
novartis,Health care and pharmaceuticals,Europe,11111,11111,11000,11111,00111
novo nordisk,Health care and pharmaceuticals,Europe,---11,---10,---00,---11,---01
nrg energy,Energy and utilities,North America,--0--,--1--,--0--,--1--,--0--
ntt,Telecommunications and media,Asia,----0,----1,----0,----1,----1
nucor,Metals and mining,North America,-000-,-000-,-000-,-001-,-101-
nutrien,"Food, beverages and agriculture",North America,--0--,--0--,--0--,--0--,--0--
nvidia,Technology,North America,---00,---01,---00,---00,---00
occidental petroleum,Energy and utilities,North America,--0--,--0--,--0--,--1--,--0--
oil & natural gas,Metals and mining,Asia,00000,00000,01000,00101,01001
omv group,Oil and gas,Europe,-0000,-0000,-0000,-1111,-0011
oracle,Technology,North America,00000,00000,01000,01111,01000
orange,Telecommunications and media,Europe,00000,11111,00000,11111,01011
orlen,Oil and gas,Europe,---00,---00,---00,---11,---00
paccar,Engineering and construction,North America,---00,---11,---00,---00,---00
pacific construction group,Engineering and construction,Asia,00000,00000,00000,00001,00001
panasonic,Technology,Asia,1----,1----,0----,1----,0----
panasonic holdings,Technology,Asia,-1111,-1111,-1000,-0111,-0011
pbf energy,Oil and gas,North America,--000,--000,--110,--000,--000
pdd holdings,Retail,Asia,---00,---00,---00,---00,---00
pegatron,Technology,Asia,00000,00001,00000,00011,00000
pemex,Metals and mining,Other,00000,00000,00000,00011,00011
people's insurance co. of china,Financial services,Asia,00000,00000,00000,00000,00000
pepsico,"Food, beverages and agriculture",North America,11111,11111,00000,11111,01011
performance food group,"Food, beverages and agriculture",North America,00000,00000,00000,00010,00000
pertamina,Oil and gas,Asia,00000,00000,00000,00101,00000
