year,company ,region,sector ,re100,sbti,cn,nz,cc,,,
2021,Kroger,North America,"Food, beverages and agriculture",,,,,,,,
2021,La Poste,Europe,Transportation and logistics,1,1,1,,,,,
2021,Legal & General Group,Europe,Financial services,,,,1,,,,
2021,Lenovo Group,Asia,Technology,,1,,,,,,
2021,LG Chem,Asia,Chemicals,,,,,,,,
2021,LG Electronics,Asia,Technology,,,1,,,,,
2021,Liberty Mutual Insurance Group,North America,Financial services,,,,,,,,
2021,Linde,Europe,Chemicals,,,,,,,,
2021,Lloyds Banking Group,Europe,Financial services,1,,,1,,,,
2021,Lockheed Martin,North America,Aerospace and defense,,,,,,,,
2021,Longfor Group Holdings,Asia,Real estate,,,,,,,,
2021,L'Oréal,Europe,Household and personal products,,1,1,1,,,,
2021,Louis Dreyfus,Europe,"Food, beverages and agriculture",,,,,,,,
2021,Lowe's,North America,Retail,,,,,,,,
2021,Lukoil,Europe,Oil and gas,,,,,,,,
2021,LyondellBasell Industries,Europe,Chemicals,,,,,,,,
2021,Maersk Group,Europe,Transportation and logistics,,,1,1,,,,
2021,Magna International,North America,Automotive,,,1,,,,,
2021,Manulife Financial,North America,Financial services,,,,1,,,,
2021,Mapfre Group,Europe,Financial services,,,1,,,,,
2021,Marathon Petroleum,North America,Oil and gas,,,,,,,,
2021,Marubeni,Asia,Financial services,,,,1,,,,
2021,Mazda Motor,Asia,Automotive,,,,,,,,
2021,McKesson,North America,Health care and pharmaceuticals,,,,,,,,
2021,Medipal Holdings,Asia,Health care and pharmaceuticals,,,,,,,,
2021,Medtronic,North America,Health care and pharmaceuticals,,,1,,,,,
2021,Meiji Yasuda Life Insurance,Asia,Financial services,,,,1,,,,
2021,Merck,North America,Health care and pharmaceuticals,,,1,,,,,
2021,MetLife,North America,Financial services,,,1,,,,,
2021,Metro,Europe,"Food, beverages and agriculture",,1,1,,,,,
2021,Microsoft,North America,Technology,1,1,1,1,,,,
2021,Midea Group,Asia,Technology,,,,,,,,
2021,Migros Group,Europe,Retail,,,,,,,,
2021,Mitsubishi,Asia,Financial services,,,,,,,,
