company,sector,nz_2024,nz_2025,gained_nz,lost_nz
Plains GP Holdings,Oil and gas,0.0,,False,False
PowerChina,Engineering and construction,0.0,0.0,False,False
Procter & Gamble,Household and personal products,1.0,1.0,False,False
Progressive,Financial services,1.0,0.0,False,True
Prudential Financial,Financial services,1.0,1.0,False,False
Publix Super Markets,Retail,0.0,0.0,False,False
Qualcomm,Industrial goods,1.0,,False,False
Qualcomm,Technology,,1.0,False,False
Quanta Computer,Technology,0.0,1.0,True,False
RTX,Aerospace and Defense,1.0,,False,False
RTX,Aerospace and defense,,0.0,False,False
Rabobank Group,Financial services,0.0,0.0,False,False
Raizen,Oil and gas,0.0,0.0,False,False
Reliance Industries,Oil and gas,1.0,1.0,False,False
Renault,Automotive,1.0,0.0,False,True
Repsol,Oil and gas,1.0,1.0,False,False
Rio Tinto Group,Metals and mining,1.0,1.0,False,False
Roche Group,Health care and pharmaceuticals,1.0,1.0,False,False
Rosneft Oil,Oil and gas,0.0,0.0,False,False
Royal Ahold Delhaize,Retail,1.0,1.0,False,False
Royal Bank of Canada,Financial services,1.0,1.0,False,False
S.F. Holding,Transportation and logistics,0.0,1.0,True,False
SAIC Motor,Automotive,0.0,0.0,False,False
SAP,Technology,1.0,1.0,False,False
SK,Oil and gas,0.0,1.0,True,False
SNCF Group,Transportation and logistics,1.0,0.0,False,True
Saint-Gobain,Industrial goods,1.0,1.0,False,False
Salesforce,Technology,1.0,1.0,False,False
Samsung Electronics,Industrial goods,1.0,,False,False
Samsung Electronics,Technology,,1.0,False,False
Sanofi,Health care and pharmaceuticals,1.0,1.0,False,False
Saudi Aramco,Metals and mining,1.0,1.0,False,False
Sberbank,Financial services,0.0,0.0,False,False
Schlumberger,Oil and gas,1.0,1.0,False,False
Schneider Electric,Industrial goods,1.0,,False,False
Schneider Electric,Technology,,1.0,False,False
Seven & I Holdings,Retail,1.0,1.0,False,False
Shaanxi Coal & Chemical Industry,Metals and mining,0.0,0.0,False,False
Shaanxi Yanchang Petroleum (Group),Metals and mining,0.0,0.0,False,False
Shandong Energy Group,Metals and mining,0.0,0.0,False,False
Shandong Hi-Speed Group,Transportation and logistics,0.0,0.0,False,False
Shandong Weiqiao Pioneering Group,Household and personal products,1.0,0.0,False,True
Shanghai Construction Group,Engineering and construction,0.0,0.0,False,False
Shanghai Delong Steel Group,Metals and mining,0.0,0.0,False,False
Shanghai Pharmaceuticals Holding,Health care and pharmaceuticals,,0.0,False,False
Shanghai Pharmaceuticals Holding,Retail,0.0,,False,False
Shanghai Pudong Development Bank,Financial services,0.0,0.0,False,False
Shell,Oil and gas,1.0,1.0,False,False
Shenghong Holding Group,Chemicals,0.0,0.0,False,False
Shenzhen Investment Holdings,Financial services,0.0,0.0,False,False
Shudao Investment Group,Engineering and construction,0.0,0.0,False,False
Siemens,Industrial goods,1.0,1.0,False,False
Siemens Energy,Energy and utilities,1.0,0.0,False,True
Sinomach,Industrial goods,0.0,0.0,False,False
Sinopec Group,Oil and gas,0.0,0.0,False,False
Sinopharm,Health care and pharmaceuticals,0.0,0.0,False,False
Societe Generale,Financial services,0.0,0.0,False,False
SoftBank Group,Telecommunications and media,1.0,1.0,False,False
